idx,type,n_craters,r_s,noise,ellipticity,alpha
0,single,1,25.03,0.036,0.258,2.87
1,single,1,20.3,0.036,0.177,3.2
2,single,1,22.68,0.044,0.174,2.99
3,single,1,10.84,0.042,0.037,3.46
4,single,1,23.01,0.058,0.143,2.98
5,single,1,26.46,0.045,0.087,3.08
6,single,1,20.5,0.011,0.239,3.17
7,single,1,18.23,0.062,0.002,3.05
8,single,1,18.88,0.066,0.148,3.46
9,single,1,11.25,0.035,0.015,3.31
10,single,1,19.02,0.032,0.226,3.28
11,single,1,8.3,0.043,0.24,2.86
12,single,1,10.57,0.019,0.059,3.07
13,single,1,14.41,0.034,0.135,3.43
14,single,1,11.63,0.036,0.236,3.42
15,single,1,16.54,0.013,0.029,2.86
16,single,1,17.45,0.055,0.004,2.9
17,single,1,8.56,0.013,0.282,3.5
18,single,1,11.78,0.056,0.109,3.21
19,single,1,12.9,0.031,0.095,3.18
20,single,1,9.23,0.052,0.114,3.06
21,single,1,23.71,0.015,0.159,3.12
22,single,1,12.7,0.051,0.123,2.95
23,single,1,24.1,0.059,0.293,2.87
24,single,1,19.25,0.058,0.217,3.13
25,single,1,17.6,0.033,0.096,2.87
26,single,1,20.8,0.021,0.075,3.05
27,single,1,23.22,0.064,0.248,3.01
28,single,1,20.01,0.035,0.266,3.17
29,single,1,17.57,0.067,0.193,3.16
30,single,1,10.84,0.06,0.123,3.05
31,single,1,16.53,0.034,0.11,2.9
32,single,1,23.83,0.032,0.09,3.07
33,single,1,9.0,0.028,0.099,3.45
34,single,1,10.56,0.034,0.088,3.46
35,single,1,17.12,0.021,0.0,3.17
36,single,1,14.39,0.06,0.098,3.08
37,single,1,11.41,0.033,0.004,2.88
38,single,1,18.59,0.01,0.274,3.06
39,single,1,14.87,0.049,0.259,3.32
40,single,1,19.32,0.02,0.205,3.3
41,single,1,22.35,0.027,0.147,3.13
42,single,1,28.22,0.065,0.002,3.21
43,single,1,15.42,0.051,0.112,3.49
44,single,1,27.82,0.018,0.03,3.21
45,single,1,26.91,0.058,0.114,3.18
46,single,1,23.91,0.053,0.281,3.24
47,single,1,10.38,0.047,0.081,3.38
48,single,1,20.08,0.031,0.115,3.3
49,single,1,15.76,0.038,0.161,3.12
50,single,1,24.28,0.065,0.168,3.12
